industry,symbols
enterprise-solutions,"GNY,BTU,DDK,BEPRO,XTZ,ARDR,NXT,MFG,DRGN,GO,CVC,SOLVE,ICX,WAN,AERGO,JUP,ZEBI,KAI,VEX,CENNZ,EWT,FTM,NULS,CHR,MITX,TLOS,HBAR,LOOM,DUSK,XDC,LSK,WEST,HPB,EOS,HAI,BCH,NEW,TRAC,SYS,MATIC,KMD,ANKR,KEY,NKN,STRAX,ELF,AXPR,VEE,BITS,FCT,XLM,PHX,S4F,SOUL,VITE,ZEN,NEBL,NEO,XPX,ONE,LTO,AVT,ORBS,ONT,FUND,CELR,ANT,RLC,EGLD,BLY,CTK,GRT"
alleged-sec-securities,"ATOM,KIN,POWR,VGX,MATIC,OMG,MANA,XYO,DASH,COTI,MIR,NEXO,TKN,LCX,TRX,SAND,SOL,CHZ,LUNC,LBC,SALT,IHT,DRGN,ALGO,HYDRO,BTTOLD,FTT,ADA,AMP,FIL,NEAR,TON,AXS,RLY"
e-commerce,"CMT,PART,MMO,CRP,BRG"
generative-ai,"TRAC,AIX,LPT,AGIX,SOUL,MAN,FLUX,PHA,AKT,RNDR,ORAI,POND"
doggone-doggerel,"DOGEC,VOLT"
governance,"RARI,BAL,BAT,PNT,CREAM,ZRX,SNX,AMB,PLR,DMG,KNCL,UMA,BEAM,GRG,UNI,MTA,CHESS,ANT,MIN,FLUX,FOR,YFI,YAM,FRM,DOCK,CRV,NOIA,CVP,HAKKA,SUSHI,YFII,SWRV,CNS,FARM,YF-DAI,SFG,CAKE,CORE,GHST,AAVE,OCTO,SHARD,BOND,IDLE,BIFI"
dex,"PEX,HYDRO,BLUE,WOM,NEX,MMO,BAKE,CAKE,MIN"
loyalty,"CRE,AVT,CBM,GFT,IQ,MORE"
substrate,"NOIA,ANKR,RING,FRM,DIA,CELR,OAX,KSM,EDG,OCEAN,AKRO,MXC,EWT,DBC,ZRX,BLUE,RLC,SUB,PCX,LIT,DOT,XOR,PHA,CRU"
ai-agents,"TRAC,MAX,MAN,AAA,BERRY,PHA,ORAI"
defi,"PIN,SXP,RSR,MIR,YAM,TLOS,DFI,HBAR,CTT,TKN,NTRN,FSN,STX,BAND,PNT,AKRO,WAN,STAKE,BNT,JUP,HYDRO,SWAP,EGG,RPL,LBTC,JRT,CREAM,COMBO,AUC,COTI,SEND,CHR,OCEAN,STPT,SWTH,SURE,IDEX,FTM,KAVA,FOR,ZAP,BAL,LRC,LUNC,OGN,NIOX,BEPRO,CRV,BIP,AST,MFG,TIME,OXEN,BLUE,CKB,AYA,WOM,SUKU,MMO,CHESS,ORBS,JST,ZANO,UNO,PEAK,NMR,SRM,MIN,TRB,LIT,FUN,SWFTC,DIA,ERC20,RUNE,FRM,VOLT,XHV,UQC,MLN,NEST,HOT,AMB,PHX,GNO,PLR,DMG,KNCL,REP,XTN,BEAM,GRG,BTS,RCN,RLC,UNI,REQ,SUTER,TRADE,MTA,NEX,MET,ANKR,TFUEL,CVP,PRQ,COVAL,HAKKA,YFII,SUSHI,ZRX,SWRV,KEEP,BAT,LAYER,THETA,EGLD,REN,COMP,SNX,DF,CNS,MKR,MTRG,SWINGBY,YF-DAI,FARM,FRONT,STRONG,YFI,UMA,AVAX,BEL,CORE,WING,KDA,BURGER,ANY,PTF,CAKE,BRG,BAKE,AAVE,RENBTC,XVS,OCTO,PERP,SAKE,SCRT,EZ,FIN,SHARD,VRSC,UFT,FLM,INJ,KP3R,DODO,XTZ,BOND,NSURE,ALPHA,APY,GXT,HARD,HEGIC,WOO,UNFI,ROSE,SFI,ROOK,TRU,SMARTCREDIT,MPH,L2,RAMP,POLS,IDLE,API3,ORAI,GRT,HGET,1INCH,FIDA,BIFI,POND"
storage,"EDGE,ALEPH,LAMB,PAC,HOT,SHDW,ZCN,SCP,SOUL,ETHO,BLZ,RLC,XPX,INXT,OPCT,FLUX,HNS,SKY,STORJ,MAID,OCEAN,AR,CRU,NCDT,AKT,SKL,FOL"
music,"ADC,BTZC"
discount-token,"HEDG,GT,BIX,NEX,HT,KCS,EXM,AGVC,QASH,OKB,VSYS,MX"
atomic-swaps,"TAU,ZANO"
